utc	jobid	name	config	gpus	nodes	gpus_per_node	queue	wall	mem	mbs	ga	seq	steps	tokens_per_step	total_tokens	git_commit	config_sha256	cmdline
2026-09-17T21:31:34Z	1761457	cmix_134M_pure_32B_sparse	configs/cmix/cmix_134M_pure_32B_sparse.yml	8	2	4	preemptable	48:00	200G	2	4	4096	122070	262144	31999918080	a94909d2	9f483a0911ed4535	submit_train.sh cmix_134M_pure_32B_sparse configs/cmix/cmix_134M_pure_32B_sparse.yml 8 preemptable 48:00 200G 
2026-09-17T21:33:06Z	1761460	cmix_134M_hybrid_32B_sparse	configs/cmix/cmix_134M_hybrid_32B_sparse.yml	8	2	4	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	a94909d2	cd44dca080984227	submit_train.sh cmix_134M_hybrid_32B_sparse configs/cmix/cmix_134M_hybrid_32B_sparse.yml 8 preemptable 24:00 200G 
2026-09-17T21:33:06Z	1761461	cmix_134M_sandwich_32B_sparse	configs/cmix/cmix_134M_sandwich_32B_sparse.yml	8	2	4	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	a94909d2	17be03da1918cbbe	submit_train.sh cmix_134M_sandwich_32B_sparse configs/cmix/cmix_134M_sandwich_32B_sparse.yml 8 preemptable 24:00 200G 
2026-09-17T21:33:06Z	1761462	cmix_134M_pure_32B_sparse	configs/cmix/cmix_134M_pure_32B_sparse.yml	8	2	4	preemptable	48:00	200G	2	4	4096	122070	262144	31999918080	a94909d2	9f483a0911ed4535	submit_train.sh cmix_134M_pure_32B_sparse configs/cmix/cmix_134M_pure_32B_sparse.yml 8 preemptable 48:00 200G 
2026-09-17T22:07:10Z	1761564	cmix_400M_hybrid_sparse	configs/cmix/cmix_400M_hybrid_sparse.yml	8	2	4	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	a94909d2	5123b188af86b44f	submit_train.sh cmix_400M_hybrid_sparse configs/cmix/cmix_400M_hybrid_sparse.yml 8 preemptable 24:00 200G 
2026-09-17T22:07:11Z	1761565	cmix_400M_sandwich_sparse	configs/cmix/cmix_400M_sandwich_sparse.yml	8	2	4	preemptable	24:00	200G	1	16	4096	61035	524288	31999918080	a94909d2	10f4d9bd025280fd	submit_train.sh cmix_400M_sandwich_sparse configs/cmix/cmix_400M_sandwich_sparse.yml 8 preemptable 24:00 200G 
2026-09-17T22:11:48Z	1761594	cmix_134M_hybrid_32B_sparse	configs/cmix/cmix_134M_hybrid_32B_sparse.yml	8	2	4	normal	24:00	200G	4	2	4096	122070	262144	31999918080	a94909d2	cd44dca080984227	submit_train.sh cmix_134M_hybrid_32B_sparse configs/cmix/cmix_134M_hybrid_32B_sparse.yml 8 normal 24:00 200G 
2026-09-18T04:54:23Z	1765365	cmix_400M_sandwich_mbs2_probe	configs/cmix/cmix_400M_sandwich_mbs2_probe.yml	4	1	4	preemptable	02:00	200G	2	8	4096	400	262144	104857600	a94909d2	2df744f65c0c851a	submit_train.sh cmix_400M_sandwich_mbs2_probe configs/cmix/cmix_400M_sandwich_mbs2_probe.yml 4 preemptable 02:00 200G 
2026-09-18T21:47:04Z	1773522	cmix_400M_baseline_switch	configs/cmix/cmix_400M_baseline_switch.yml	8	2	4	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	a94909d2	ae6f7b17da08f7b7	submit_train.sh cmix_400M_baseline_switch configs/cmix/cmix_400M_baseline_switch.yml 8 preemptable 24:00 200G 
2026-09-18T21:47:04Z	1773523	cmix1B_12L_gptDense_32B	configs/cmix/cmix1B_12L_gptDense_32B.yml	8	2	4	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	a94909d2	1c58bb6f9587f801	submit_train.sh cmix1B_12L_gptDense_32B configs/cmix/cmix1B_12L_gptDense_32B.yml 8 preemptable 24:00 200G 
2026-09-18T21:47:04Z	1773524	cmix_134M_pure_32B_sparse	configs/cmix/cmix_134M_pure_32B_sparse.yml	8	2	4	preemptable	48:00	200G	2	4	4096	122070	262144	31999918080	a94909d2	9f483a0911ed4535	submit_train.sh cmix_134M_pure_32B_sparse configs/cmix/cmix_134M_pure_32B_sparse.yml 8 preemptable 48:00 200G 
2026-09-18T21:47:04Z	1773525	cmix_400M_sandwich_sparse	configs/cmix/cmix_400M_sandwich_sparse.yml	8	2	4	preemptable	24:00	200G	1	16	4096	61035	524288	31999918080	a94909d2	10f4d9bd025280fd	submit_train.sh cmix_400M_sandwich_sparse configs/cmix/cmix_400M_sandwich_sparse.yml 8 preemptable 24:00 200G 
2026-09-18T23:53:52Z	1774852	cmix_134M_hyb_w1w2_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml	8	2	4	normal	24:00	200G	4	2	4096	122070	262144	31999918080	fd52703a	a5b2e5a795bdcd96	submit_train.sh cmix_134M_hyb_w1w2_surr_32B configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml 8 normal 24:00 200G 
2026-09-18T23:58:27Z	1775117	cmix_134M_hyb_w1w2_surr_32B	configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml	8	2	4	normal	24:00	200G	4	2	4096	122070	262144	31999918080	fd52703a	0fb4cb4e78fe4c5a	submit_train.sh cmix_134M_hyb_w1w2_surr_32B configs/cmix/cmix_134M_hyb_w1w2_surr_32B.yml 8 normal 24:00 200G 
